file_id,label,bucket,company,description
0511afa9-94d6-4a22-a384-11efbef34dfe,Augment lean store teams with automated observations/alerts,safety,Voxel Legacy Drive Fabrication,"Use AI-driven alerts and automated observations to assist understaffed stores, reduce manual safety observation time, and avoid adding workload to managers."
0511afa9-94d6-4a22-a384-11efbef34dfe,Augment lean store teams with automated observations/alerts,nonsafety,Voxel Legacy Drive Fabrication,"Use AI-driven alerts and automated observations to assist understaffed stores, reduce manual safety observation time, and avoid adding workload to managers."
2529844c-2be9-4979-9296-deec8ab79944,Continuous AI safety coverage vs human observation,safety,Oak Motive Solutions,"Leverage always-on AI monitoring to cover the facility for incidents and near misses, overcoming the limits of safety staff presence and highlighting time/cost advantages over manual observations."
2529844c-2be9-4979-9296-deec8ab79944,Continuous AI safety coverage vs human observation,nonsafety,Oak Motive Solutions,"Use AI to replace or augment manual observations, quantifying the labor/time saved versus human spot checks to support cost-savings and scalability."
276c425a-9758-4d6e-845b-688667b0d6d5,Cross‑site safety analytics and benchmarking,safety,Quarry Flow Logistics,"Aggregate and compare safety indicators (e.g., PPE compliance, incident trends) across multiple plants to identify leaders/laggards and drive culture and coaching changes."
276c425a-9758-4d6e-845b-688667b0d6d5,Cross‑site safety analytics and benchmarking,nonsafety,Quarry Flow Logistics,"Aggregate and compare safety indicators (e.g., PPE compliance, incident trends) across multiple plants to identify leaders/laggards and drive culture and coaching changes."
45f3120e-3169-4083-8b5c-c97d0f20cb0c,Forklift stop-at-intersection compliance tracking and analytics,safety,Voxel AI Demo,Track forklift stop compliance at intersections and quantify compliance rates across all opportunities to enforce safety rules.
45f3120e-3169-4083-8b5c-c97d0f20cb0c,Forklift stop-at-intersection compliance tracking and analytics,nonsafety,Voxel AI Demo,Track forklift stop compliance at intersections and quantify compliance rates across all opportunities to enforce safety rules.
45f8972e-4307-4256-adf1-45ca7a833e72,Ergonomics detection and real-time coaching (reduce injuries and costs),safety,Cleo Sloane Reconnect,Recognize poor ergonomics and lifting techniques and enable near real-time coaching to reduce numerous ergonomic injuries and associated costs.
45f8972e-4307-4256-adf1-45ca7a833e72,Ergonomics detection and real-time coaching (reduce injuries and costs),nonsafety,Cleo Sloane Reconnect,Recognize poor ergonomics and lifting techniques and enable near real-time coaching to reduce numerous ergonomic injuries and associated costs.
5e295dd9-85e3-4dea-930e-545e8e8eba60,Detect equipment set on dock plates,safety,Prairie Bridge Systems,Use the camera to detect when a machine/equipment is set on the dock plates and ensure it is captured.
5e295dd9-85e3-4dea-930e-545e8e8eba60,Detect equipment set on dock plates,nonsafety,Prairie Bridge Systems,Use the camera to detect when a machine/equipment is set on the dock plates and ensure it is captured.
62eb5dc9-c22f-4846-92dd-07743da36faf,Track intervention impact with platform markers,safety,Voxel Follow Up,"Use markers in the platform when training or floor changes occur to compare pre/post data and show trend impacts, including for future ergonomic initiatives."
62eb5dc9-c22f-4846-92dd-07743da36faf,Track intervention impact with platform markers,nonsafety,Voxel Follow Up,Add markers when training or floor changes happen to compare pre/post data and quantify effect on safety trends for reporting and decision-making.
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91,Door open/propped duration monitoring,safety,Mason Line Supply,"Alert when warehouse doors are left open or propped to mitigate risk, including unauthorized entry exposure and related safety concerns."
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91,Door open/propped duration monitoring,nonsafety,Mason Line Supply,Alert when warehouse doors are left open or propped to reduce security exposure from unauthorized entry.
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91,Yard gate driver behavior logging for carrier compliance,safety,Mason Line Supply,Log rushing/run‑through incidents at the facility gate that cause damage so CEVA can notify trucking companies to follow yard rules and improve safety at entry points.
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91,Yard gate driver behavior logging for carrier compliance,nonsafety,Mason Line Supply,Log and identify trucking companies whose drivers rush the gate and cause damage so CEVA can enforce yard rules with vendors.
6a626eda-a54b-4bbc-a81d-8e11fd41428e,Enterprise-scale rollout across DCs and storefronts,safety,Riley,Expand from pilot to full enterprise deployment of the safety solution across all distribution centers and storefronts.
6a626eda-a54b-4bbc-a81d-8e11fd41428e,Enterprise-scale rollout across DCs and storefronts,nonsafety,Riley,Expand from pilot to full enterprise deployment of the solution across all distribution centers and storefronts.
7e5e172b-e1f1-484e-872e-9174098d6ff6,Safety tallying and follow-up workflow (tracking repeat offenders/situations),safety,Voxel sync,Leverage Voxel’s counts to create spreadsheets that track individuals and recurring situations for coaching or discipline and to measure improvement over time.
7e5e172b-e1f1-484e-872e-9174098d6ff6,Safety tallying and follow-up workflow (tracking repeat offenders/situations),nonsafety,Voxel sync,"Use Voxel’s counts to build spreadsheets for operational tracking of associates and scenarios, enabling coaching/discipline workflows and trend measurement."
8a7ff309-11af-4250-ab87-4b2cf88b0f52,Early fire-related issue detection in mills,safety,Oak Motive Solutions,Deploy monitoring to spot early signs of fire-related issues in higher-risk areas and help protect the workforce.
8a7ff309-11af-4250-ab87-4b2cf88b0f52,Early fire-related issue detection in mills,nonsafety,Oak Motive Solutions,Deploy monitoring to spot early signs of fire-related issues in higher-risk areas and help protect the workforce.
8a7ff309-11af-4250-ab87-4b2cf88b0f52,Equipment issue monitoring,safety,Oak Motive Solutions,Use monitoring to detect equipment issues for early intervention and to reduce costly equipment failures.
8a7ff309-11af-4250-ab87-4b2cf88b0f52,Equipment issue monitoring,nonsafety,Oak Motive Solutions,Use monitoring to detect equipment issues for early intervention and to reduce costly equipment failures.
909a8d56-b5dc-4b0e-aff9-d097d46a0a58,Trailer pull-away detection at docks,safety,Field Span Transport,Detect and alert on trailer pull-aways during loading/unloading to prevent serious dock safety incidents while also impacting operations.
909a8d56-b5dc-4b0e-aff9-d097d46a0a58,Trailer pull-away detection at docks,nonsafety,Field Span Transport,Monitor and detect trailer pull-aways to reduce operational disruptions and losses in addition to safety risk mitigation.
950341d3-199c-40ca-a07d-f7771066f208,Obstruction detection standardization across sites,safety,Pioneer Market Group Internal Sync,Standardize the obstruction hazard use case with consistent definitions/thresholds across all DCs.
950341d3-199c-40ca-a07d-f7771066f208,Obstruction detection standardization across sites,nonsafety,Pioneer Market Group Internal Sync,"Standardize the obstruction use case with consistent definitions/thresholds across all DCs as part of a broader, consistent playbook."
a4393e52-d7df-4f74-a9ac-48600f2c0007,Track and close the loop on safety corrective actions with the Actions workflow,safety,Iron Grid Fabrication,"Use Voxel’s Actions feature to assign, progress, and complete safety-related actions, capturing comments and measuring whether actions had the intended impact."
a4393e52-d7df-4f74-a9ac-48600f2c0007,Track and close the loop on safety corrective actions with the Actions workflow,nonsafety,Iron Grid Fabrication,"Use Voxel’s Actions feature to assign owners, move items through stages, add comments, and verify impact for better operational accountability."
a650d22c-3333-4a10-9dc1-7b8cd6199287,Safety analytics and interactive reporting across shops,safety,Beacon Line Supply Intro,"Compile safety data into interactive reports for foremen and HSC to drive leading indicators, recognition programs, and cross-shop communication."
a650d22c-3333-4a10-9dc1-7b8cd6199287,Safety analytics and interactive reporting across shops,nonsafety,Beacon Line Supply Intro,Compile safety data into interactive reports for foremen and HSC to support performance tracking and cross-team communication.
aa7a4873-c2d8-41b6-bd05-0600530e7764,Area controls (restricted zones and product placement policies),safety,Blue Peak Services POC Week 2 Review,"Set up area control rules such as where product must not be left and where people should never be, to enforce site policies and prevent unsafe access."
aa7a4873-c2d8-41b6-bd05-0600530e7764,Area controls (restricted zones and product placement policies),nonsafety,Blue Peak Services POC Week 2 Review,Configure rules to enforce operational policies such as preventing product from being left in certain areas and restricting access to specific zones.
ab25c025-3c1d-4127-8784-51d4c905ea23,Enterprise safety analytics and summary view,safety,Stone Peak Manufacturing,"Provide enterprise-wide visibility into how often, when, and where safety risks occur across facilities via a summary view to target interventions."
ab25c025-3c1d-4127-8784-51d4c905ea23,Enterprise safety analytics and summary view,nonsafety,Stone Peak Manufacturing,"Provide enterprise-wide analytics on frequency, location, and timing of events via a summary view for cross-site visibility and decision-making."
ac14b2a4-2a18-45c0-9f6d-3956fb2f1e85,Driver exoneration using video evidence after a crash,safety,Jordan,Use in-vehicle video to exonerate drivers at the scene of a collision and confirm fault lies with the other party.
ac14b2a4-2a18-45c0-9f6d-3956fb2f1e85,Driver exoneration using video evidence after a crash,nonsafety,Jordan,Use in-vehicle video to exonerate drivers at the scene of a collision and reduce claims exposure.
be401ee4-de53-401a-b1ad-d26e3ae2d018,Accountable coaching and training via Actions tied to incident clips,safety,Jetty Steel Systems,Use Voxel clips and the Actions workflow to create accountable coaching and training tasks for safety behaviors with due dates and owners.
be401ee4-de53-401a-b1ad-d26e3ae2d018,Accountable coaching and training via Actions tied to incident clips,nonsafety,Jetty Steel Systems,"Use the Actions feature to create, assign (single owner), and track tasks with due dates, email notifications, and linked evidence to drive follow-through."
cc1e178e-afef-484c-8a75-f025a6f882ec,Drone-based remote inspection and auditing,safety,Cobalt Plant Industrial,Integrate AI with drones to conduct remote site walkthroughs from the office to audit teams and inspect conditions.
cc1e178e-afef-484c-8a75-f025a6f882ec,Drone-based remote inspection and auditing,nonsafety,Cobalt Plant Industrial,Integrate AI with drones to conduct remote site walkthroughs from the office to audit teams and inspect conditions.
dd077f4c-3e4b-46aa-9945-d8fd10877195,Action tracking and accountability for safety interventions,safety,Vale Bridge Systems Training,"Use the Actions workflow to assign responsible owners, add subscribers, set due dates, notify via email, track status through assigned/in progress/completed, and report on completion and impact on event volumes."
dd077f4c-3e4b-46aa-9945-d8fd10877195,Action tracking and accountability for safety interventions,nonsafety,Vale Bridge Systems Training,"Use the Actions workflow to assign responsible owners, add subscribers, set due dates, notify via email, track status through assigned/in progress/completed, and report on completion and impact on event volumes."
e4b2f981-a2ca-4c45-9257-ff6af898d095,Quantify impact of safety interventions with leading indicators and markers,safety,Voxel Safety Intro: Copper Forge Industrial,Track trends in risky behaviors and use markers to correlate training or engineering changes with reductions in risk to quantify impact before injury data arrives.
e4b2f981-a2ca-4c45-9257-ff6af898d095,Quantify impact of safety interventions with leading indicators and markers,nonsafety,Voxel Safety Intro: Copper Forge Industrial,"Track trends and use markers to correlate program or engineering changes with risk reductions, providing measurable impact and ROI before injury data accrues."
e4b2f981-a2ca-4c45-9257-ff6af898d095,Assign and track safety actions with role-based access,safety,Voxel Safety Intro: Copper Forge Industrial,"Route flagged clips to the responsible supervisor for coaching, track action completion, and limit user visibility by role/shift to reduce inter-shift friction."
e4b2f981-a2ca-4c45-9257-ff6af898d095,Assign and track safety actions with role-based access,nonsafety,Voxel Safety Intro: Copper Forge Industrial,"Use an assignment workflow to route clips to the right supervisors, track completion, and tailor access by role/shift to streamline follow-up and reduce friction."
eca035c7-1e29-4bfc-adbf-ae4c7937c9dc,Assign incidents and track accountability,safety,Forge Axis Solutions,Share the platform with managers/supervisors to assign safety follow-ups and track open/resolved actions and accountability.
eca035c7-1e29-4bfc-adbf-ae4c7937c9dc,Assign incidents and track accountability,nonsafety,Forge Axis Solutions,Share the platform with managers/supervisors to assign follow-ups and use enhanced reporting to track open/resolved actions and accountability.
fc07344d-07f9-44b8-9cd2-5df1719a946d,Safety incident reporting and trend analysis,safety,"Voxel Training- Summit Span Solutions, Northpoint Site","Use reports to analyze incident trends by type, camera, and time, track team engagement, and evaluate whether actions reduced incidents."
fc07344d-07f9-44b8-9cd2-5df1719a946d,Safety incident reporting and trend analysis,nonsafety,"Voxel Training- Summit Span Solutions, Northpoint Site","Use reports to analyze incident trends by type, camera, and time, track team engagement, and evaluate whether actions reduced incidents."
fc07344d-07f9-44b8-9cd2-5df1719a946d,Safety performance benchmarking and goal tracking,safety,"Voxel Training- Summit Span Solutions, Northpoint Site",Set safety performance goals and compare ongoing trends against those goals as benchmarking capabilities mature.
fc07344d-07f9-44b8-9cd2-5df1719a946d,Safety performance benchmarking and goal tracking,nonsafety,"Voxel Training- Summit Span Solutions, Northpoint Site",Set performance goals and compare ongoing trends against those goals as benchmarking capabilities mature.
